Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
18-02-2026,NSEEQ,Sell,IDEA-EQ,4000.0,11.63,202957737.0,IDEA,SELL,4000,11.63
19-02-2026,NSEEQ,Buy,IDEA-EQ,4000.0,11.2,208294705.0,IDEA,BUY,4000,11.2
20-01-2026,NSEEQ,Buy,IDEA-EQ,2000.0,10.1,211293622.0,IDEA,BUY,2000,10.1
20-02-2026,NSEEQ,Buy,IDEA-EQ,2000.0,11.15,207148975.0,IDEA,BUY,2000,11.15
20-02-2026,NSEEQ,Buy,IDEA-EQ,1000.0,11.18,207104133.0,IDEA,BUY,1000,11.18
20-02-2026,NSEEQ,Buy,IDEA-EQ,124.0,11.2,207091069.0,IDEA,BUY,124,11.2
20-02-2026,NSEEQ,Buy,IDEA-EQ,1.0,11.2,207091070.0,IDEA,BUY,1,11.2
20-02-2026,NSEEQ,Buy,IDEA-EQ,875.0,11.2,207091071.0,IDEA,BUY,875,11.2
23-02-2026,NSEEQ,Buy,IDEA-EQ,2000.0,10.98,202311314.0,IDEA,BUY,2000,10.98
30-01-2026,NSEEQ,Sell,IDEA-EQ,4000.0,11.12,214118452.0,IDEA,SELL,4000,11.12
01-02-2026,NSEEQ,Buy,KERNEX-EQ,2.0,1233.8,404736484.0,KERNEX,BUY,2,1233.8
01-02-2026,NSEEQ,Buy,KERNEX-EQ,11.0,1233.8,404736485.0,KERNEX,BUY,11,1233.8
01-02-2026,NSEEQ,Buy,KERNEX-EQ,7.0,1233.9,404736486.0,KERNEX,BUY,7,1233.9
01-02-2026,NSEEQ,Sell,KERNEX-EQ,4.0,1221.3,404642705.0,KERNEX,SELL,4,1221.3
01-02-2026,NSEEQ,Sell,KERNEX-EQ,16.0,1221.3,404642706.0,KERNEX,SELL,16,1221.3
01-02-2026,NSEEQ,Buy,KERNEX-EQ,1.0,1200.0,404157052.0,KERNEX,BUY,1,1200.0
04-02-2026,NSEEQ,Buy,KERNEX-EQ,30.0,1190.0,407761153.0,KERNEX,BUY,30,1190.0
19-02-2026,NSEEQ,Buy,KERNEX-EQ,30.0,1122.2,400937746.0,KERNEX,BUY,30,1122.2
19-02-2026,NSEEQ,Buy,KERNEX-EQ,8.0,1122.5,400860830.0,KERNEX,BUY,8,1122.5
19-02-2026,NSEEQ,Buy,KERNEX-EQ,11.0,1122.5,400860831.0,KERNEX,BUY,11,1122.5
19-02-2026,NSEEQ,Buy,KERNEX-EQ,8.0,1122.5,400860832.0,KERNEX,BUY,8,1122.5
19-02-2026,NSEEQ,Buy,KERNEX-EQ,3.0,1122.9,400860833.0,KERNEX,BUY,3,1122.9
29-01-2026,NSEEQ,Buy,KERNEX-EQ,13.0,1214.2,402594636.0,KERNEX,BUY,13,1214.2
