id,timestamp,symbol,exchange,action,quantity,price,gross_amount,brokerage_fee,stt_fee,exchange_fee,gst_fee,sebi_fee,stamp_duty_fee,total_fees,net_amount,strategy,pnl_gross,pnl_net,pnl_pct_gross,pnl_pct_net,reason,broker,source,entry_timestamp,hold_duration_days,rsi,market_trend,atr,adx,macd_val,macd_signal,macd_hist
25,2026-02-13T15:37:49.567970,NIFTYBEES,NSE,BUY,10,289.48,2894.8,20.0,0.0,0.1,3.6,0.0,0.43,24.14,2918.94,RSI,,,,,RSI-based BUY,mstock,BOT,,,18.11365727353062,,,,,,
26,2026-02-13T15:38:13.394259,HDFCBANK,NSE,BUY,5,914.3,4571.5,20.0,0.0,0.16,3.6,0.0,0.69,24.45,4595.95,RSI,,,,,RSI-based BUY,mstock,BOT,,,23.290659463555514,,,,,,
27,2026-02-13T16:46:43.642003,MOSCHIP,NSE,BUY,5,190.88,954.4,20.0,0.0,0.03,3.6,0.0,0.14,23.78,978.18,RSI,,,,,RSI-based BUY,mstock,BOT,,,21.400830442234763,,,,,,
28,2026-02-13T16:46:49.931597,MOSCHIP,BSE,BUY,5,190.6,953.0,20.0,0.0,0.03,3.6,0.0,0.14,23.78,976.78,RSI,,,,,RSI-based BUY,mstock,BOT,,,22.21601024031375,,,,,,
29,2026-02-13T17:11:34.390044,TATSILV,NSE,SELL,5,23.67,118.35,20.0,0.12,0.0,3.6,0.0,0.0,23.72,94.63,RSI,-23.599999999999994,-70.95,-16.625572384642474,-42.84937794419616,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
30,2026-02-13T17:11:41.478470,HINDCOPPER,NSE,SELL,60,597.9,35874.0,20.0,35.87,1.24,3.6,0.04,0.0,60.75,35813.25,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
31,2026-02-13T17:11:48.287370,SILVERCASE,NSE,SELL,300,24.8,7440.0,20.0,7.44,0.26,3.6,0.01,0.0,31.3,7408.7,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
32,2026-02-13T17:11:55.367243,APOLLO,NSE,SELL,40,233.7,9348.0,20.0,9.35,0.32,3.6,0.01,0.0,33.28,9314.72,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
33,2026-02-13T17:12:03.313897,BSE,NSE,SELL,1,3026.7,3026.7,20.0,3.03,0.1,3.6,0.0,0.0,26.73,2999.97,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
34,2026-02-13T17:12:10.211819,CANBK,NSE,SELL,20,141.92,2838.4,20.0,2.84,0.1,3.6,0.0,0.0,26.54,2811.86,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
35,2026-02-13T17:12:17.580589,GOLDCASE,NSE,SELL,300,24.0,7200.0,20.0,7.2,0.25,3.6,0.01,0.0,31.06,7168.94,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
36,2026-02-13T17:48:29.103427,APOLLO,NSE,SELL,40,231.85,9274.0,20.0,9.27,0.32,3.6,0.01,0.0,33.2,9240.8,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
37,2026-02-13T17:48:35.288258,BSE,NSE,SELL,1,3029.2,3029.2,20.0,3.03,0.1,3.6,0.0,0.0,26.74,3002.46,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
38,2026-02-13T17:48:41.485737,CANBK,NSE,SELL,20,141.93,2838.6,20.0,2.84,0.1,3.6,0.0,0.0,26.54,2812.06,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
39,2026-02-13T17:51:34.633798,HINDCOPPER,NSE,SELL,60,592.85,35571.0,20.0,35.57,1.23,3.6,0.04,0.0,60.43,35510.57,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
40,2026-02-13T17:51:51.799171,BSE,NSE,SELL,1,3026.0,3026.0,20.0,3.03,0.1,3.6,0.0,0.0,26.73,2999.27,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
41,2026-02-16T15:39:55.819875,HDFCBANK,NSE,SELL,5,927.6,4638.0,20.0,4.64,0.16,3.6,0.0,0.0,28.4,4609.6,RSI,66.50000000000034,13.65000000000066,1.4546647708629628,0.2970006201111992,RSI-based SELL,mstock,BOT,,,66.84337849976322,,,,,,
42,2026-02-16T15:41:34.710349,WALCHANNAG,NSE,SELL,100,168.31,16831.0,20.0,16.83,0.58,3.6,0.02,0.0,41.03,16789.97,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
43,2026-02-16T15:41:39.583884,HINDCOPPER,NSE,SELL,60,575.95,34557.0,20.0,34.56,1.19,3.6,0.03,0.0,59.38,34497.62,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
44,2026-02-16T15:41:44.122058,APOLLO,NSE,SELL,40,230.0,9200.0,20.0,9.2,0.32,3.6,0.01,0.0,33.13,9166.87,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
45,2026-02-16T15:41:49.129615,CANBK,NSE,SELL,10,144.53,1445.3,20.0,1.45,0.05,3.6,0.0,0.0,25.1,1420.2,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
46,2026-02-16T15:41:54.151045,GRSE,NSE,SELL,10,2430.2,24302.0,20.0,24.3,0.84,3.6,0.02,0.0,48.76,24253.24,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
47,2026-02-16T15:41:59.361141,NETWEB,NSE,SELL,2,3075.0,6150.0,20.0,6.15,0.21,3.6,0.01,0.0,29.97,6120.03,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
48,2026-02-16T15:42:04.135816,ANGELONE,NSE,SELL,1,2550.7,2550.7,20.0,2.55,0.09,3.6,0.0,0.0,26.24,2524.46,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
49,2026-02-16T15:44:21.201798,CANBK,NSE,SELL,10,144.52,1445.2,20.0,1.45,0.05,3.6,0.0,0.0,25.1,1420.1,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
50,2026-02-16T15:44:35.180483,ANGELONE,NSE,SELL,1,2556.0,2556.0,20.0,2.56,0.09,3.6,0.0,0.0,26.25,2529.75,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
51,2026-02-16T15:46:51.392296,CANBK,NSE,SELL,10,144.55,1445.5,20.0,1.45,0.05,3.6,0.0,0.0,25.1,1420.4,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
52,2026-02-16T15:47:05.226593,ANGELONE,NSE,SELL,1,2555.5,2555.5,20.0,2.56,0.09,3.6,0.0,0.0,26.25,2529.25,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,
